Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for (years)?,Hardest V Grade ever climbed ,Frequency of climbing sessions per week,Average hours climbing per week (not including training),Average hours Training for climbing per week ,Campus Board frequency per week ,Campus Board time per week (hours),Frequency of Endurance training sesions per week,General Strength Training frequency per week ,Time spent General strength training per week (hours),Max pull up reps,Max push ups reps,BMI,APE,Pullup ratio,top_or_bottom
1,175.0,68.0,175.0,16,4,1,4,0,0,0,0,0,0,20,35,22.20408163265306,1.0,1.2941176470588236,Bottom
1,179.0,74.0,179.0,3,5,1,5,4,0,0,1,2,4,15,25,23.095409007209515,1.0,1.2027027027027026,Bottom
1,177.0,79.0,177.0,2,2,1,1,0,0,0,0,2,3,10,30,25.2162533116282,1.0,1.1265822784810127,Bottom
1,189.0,74.0,192.0,9,11,5,13,2,0,0,1,2,2,25,50,20.71610537219003,1.0158730158730158,1.337837837837838,Top
0,159.0,53.0,158.0,11,6,2,6,6,1,2,2,1,2,12,10,20.964360587002094,0.9937106918238994,1.2264150943396226,Bottom
1,174.0,57.0,180.0,7,11,4,5,12,0,0,3,1,2,35,80,18.826793499801823,1.0344827586206897,1.6140350877192982,Top
1,183.0,76.0,190.0,7,2,3,12,6,0,0,1,6,6,30,20,22.694018931589476,1.0382513661202186,1.394736842105263,Bottom
1,180.0,68.0,181.0,4,9,3,5,1,0,0,1,0,0,15,30,20.98765432098765,1.0055555555555555,1.2205882352941178,Top
1,184.0,76.0,192.0,1,6,3,9,5,0,0,0,2,8,23,35,22.448015122873343,1.0434782608695652,1.3026315789473684,Bottom
1,189.0,80.0,188.0,4,6,4,10,4,0,0,1,3,4,20,50,22.395789591556788,0.9947089947089947,1.25,Bottom
1,177.8,65.7,177.8,2,5,3,10,0,0,0,0,0,0,10,25,20.782694626613743,1.0,1.15220700152207,Bottom
0,188.0,92.0,193.0,4,4,4,8,3,1,1,0,2,3,15,25,26.029877772747852,1.0265957446808511,1.1630434782608696,Bottom
0,167.5,58.0,167.0,1,3,4,7,1,0,0,1,2,1,3,25,20.67275562486077,0.9970149253731343,1.0517241379310345,Bottom
1,170.0,61.2,170.0,5,9,1,3,3,1,1,0,2,2,15,15,21.176470588235297,1.0,1.2450980392156863,Top
1,190.5,68.7,193.4,9,10,3,12,4,0,0,4,3,4,100,100,18.930704528075722,1.0152230971128609,2.4556040756914115,Top
0,170.0,54.0,169.0,2,2,3,4,2,0,0,0,2,2,10,50,18.68512110726644,0.9941176470588236,1.1851851851851851,Bottom
1,177.0,66.0,183.0,5,0,3,9,0,0,0,0,0,0,18,35,21.06674327300584,1.0338983050847457,1.2727272727272727,
1,168.0,63.0,171.0,3,6,3,7,2,0,0,0,3,1,17,30,22.321428571428577,1.0178571428571428,1.2698412698412698,Bottom
1,181.0,72.0,184.0,4,8,2,6,9,1,1,0,3,9,25,30,21.97735111870822,1.0165745856353592,1.3472222222222223,Top
1,172.0,70.0,180.0,2,4,1,2,0,0,0,0,3,3,20,50,23.661438615467823,1.0465116279069768,1.2857142857142858,Bottom
1,186.0,74.0,190.0,4,8,4,10,2,0,0,1,2,2,15,20,21.389756041160826,1.021505376344086,1.2027027027027026,Top
1,183.0,80.0,175.0,1,3,1,3,6,0,0,1,5,6,15,20,23.888440980620498,0.9562841530054644,1.1875,Bottom
0,155.0,47.0,157.0,2,3,1,8,3,1,1,1,3,2,12,31,19.562955254942764,1.0129032258064516,1.2553191489361701,Bottom
1,187.0,85.0,190.0,1,3,2,4,5,1,1,2,3,1,15,50,24.307243558580453,1.0160427807486632,1.1764705882352942,Bottom
1,183.0,70.0,190.0,3,7,3,8,4,0,0,0,4,4,18,40,20.902385858042937,1.0382513661202186,1.2571428571428571,Bottom
1,178.0,63.0,185.0,14,10,3,6,3,1,1,1,3,1,24,30,19.883853048857468,1.0393258426966292,1.380952380952381,Top
1,172.0,61.0,174.0,4,9,4,10,10,0,0,1,3,3,22,60,20.61925365062196,1.0116279069767442,1.360655737704918,Top
1,178.0,73.4,190.0,2,5,3,6,3,0,0,1,3,3,15,40,23.166266885494256,1.0674157303370786,1.2043596730245232,Bottom
1,175.0,68.0,175.0,8,5,2,5,2,0,0,1,1,1,15,20,22.20408163265306,1.0,1.2205882352941178,Bottom
1,190.5,78.0,190.5,4,6,4,8,6,0,0,0,2,2,15,25,21.493376320085975,1.0,1.1923076923076923,Bottom
1,187.96,77.1,195.58,3,8,3,2,2,1,1,1,2,3,25,30,21.82345489599671,1.0405405405405406,1.324254215304799,Top
1,178.0,79.0,181.0,1,5,3,5,4,0,0,2,3,3,17,70,24.933720489837143,1.0168539325842696,1.2151898734177216,Bottom
0,170.0,51.0,168.0,6,6,2,4,5,0,0,0,1,1,15,30,17.647058823529413,0.9882352941176471,1.2941176470588236,Bottom
1,165.0,68.0,178.0,16,12,3,5,4,0,0,0,0,0,10,30,24.977043158861342,1.0787878787878789,1.1470588235294117,Top
1,177.0,71.0,177.0,1,4,3,3,3,1,1,0,0,0,15,20,22.66270867247598,1.0,1.2112676056338028,Bottom
1,183.0,80.0,183.0,3,6,2,3,1,1,0,0,1,1,15,40,23.888440980620498,1.0,1.1875,Bottom
0,178.0,61.0,170.0,2,2,3,9,1,0,0,1,1,1,3,10,19.252619618735007,0.9550561797752809,1.0491803278688525,Bottom
1,175.0,72.0,182.0,1,0,3,8,1,0,0,2,4,4,18,40,23.510204081632654,1.04,1.25,
1,168.0,59.0,168.0,1,6,2,3,4,0,0,0,2,4,12,20,20.904195011337873,1.0,1.2033898305084745,Bottom
1,187.96,77.5643,192.0,7,6,2,8,5,0,0,1,1,2,18,18,21.954876816985188,1.0214939348797616,1.232065524990234,Bottom
1,185.0,66.0,188.0,7,9,4,14,3,0,0,0,2,2,30,50,19.284149013878743,1.0162162162162163,1.4545454545454546,Top
1,184.0,59.0,190.0,5,3,1,2,0,0,0,0,0,0,4,20,17.426748582230623,1.0326086956521738,1.0677966101694916,Bottom
1,178.0,81.6,178.0,1,4,2,3,0,0,0,0,1,1,18,50,25.754323948996337,1.0,1.2205882352941178,Bottom
1,178.0,66.0,180.0,7,7,3,10,6,1,2,0,1,3,20,20,20.830703194041156,1.0112359550561798,1.303030303030303,Bottom
1,169.0,79.0,162.0,1,3,3,7,2,3,1,2,4,9,28,95,27.660095935016283,0.9585798816568047,1.3544303797468353,Bottom
