sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm)
1,3,6,8.0,20.0,187.96,88.45044,182.88
0,6,4,12.0,27.0,167.64000000000000,64.863656,162.56
0,3,1,9.0,20.0,170.18,57.152592,167.64000000000000
1,0,2,9.0,31.0,185.42000000000000,79.3786,195.58
1,0,6,29.0,41.0,182.88,71.213944,187.96
1,0,6,7.0,13.0,182.88,71.667536,182.88
1,4,2,18.0,30.0,170.18,64.863656,172.72
3,0,5,13.0,27.0,166.99992,62.3689,165.1
1,12,4,34.0,60.0,184.912,83.91452,194.818
1,4,4,17.0,32.0,176.53,63.50288,170.18
1,4,6,16.0,36.0,168.91,68.0388,172.72
1,12,6,37.0,70.0,170.18,60.781328,177.8
0,0,3,0.0,10.0,162.56,66.224432,158.75
1,0,6,17.0,30.0,175.26,63.049288,177.8
1,8,4,22.0,27.0,165.1,70.30676,175.26
1,9,4,23.0,38.0,172.72,67.585208,172.72
0,0,4,20.0,20.0,164.08400000000000,47.627160000000000,170.942
1,0,6,13.0,30.0,180.34,79.3786,187.96
1,7,6,19.0,34.0,172.72,72.57472,172.72
1,6,5,15.0,25.0,147.32,70.30676,147.32
0,7,2,12.0,12.0,157.48,53.070264,154.94
0,0,4,7.0,13.0,160.02,56.699,160.02
1,7,6,19.0,41.0,172.72,75.296272,182.88
1,10,6,26.0,42.0,182.88,79.3786,195.58
1,3,3,15.0,30.0,172.72,69.853168,177.8
0,3,2,23.0,20.0,157.48,49.89512,160.02
0,3,2,11.0,30.0,157.48,55.791816,152.4
1,4,3,22.0,44.0,182.88,78.017824,185.42000000000000
1,4,2,12.0,33.0,180.34,79.3786,185.42000000000000
1,4,3,14.0,30.0,182.88,84.821704,187.96
1,0,2,17.0,37.0,173.99,71.667536,181.61
0,4,3,9.0,13.0,157.48,58.96696,162.56
0,9,6,15.0,24.0,154.94,49.89512,157.48
1,6,6,15.0,30.0,185.42000000000000,77.11064,185.42000000000000
1,8,6,7.0,12.0,177.8,92.98636,182.88
0,0,6,8.0,22.0,160.02,53.523856,161.29
1,4,3,17.0,26.0,175.26,70.30676,182.88
1,5,6,13.0,26.0,170.18,68.0388,5.08
0,7,6,12.0,31.0,157.48,61.23492,162.56
1,9,6,14.0,20.0,170.18,69.399576,177.8
1,7,6,19.0,34.0,181.61,68.0388,185.42000000000000
0,0,6,26.0,50.0,162.56,52.16308,165.1
1,5,6,13.0,26.0,170.18,68.0388,175.26
1,9,5,21.0,45.0,167.64000000000000,61.23492,162.56
0,6,2,5.0,7.0,170.18,68.0388,165.1
0,0,5,6.0,11.0,167.64000000000000,63.049288,167.64000000000000
1,0,5,13.0,26.0,177.8,75.749864,429.26
1,8,3,23.0,33.0,187.96,84.368112,198.12
1,5,2,12.0,34.0,182.88,74.84268,187.96
1,4,5,11.0,30.0,171.45,79.83219200000000,180.34
1,9,6,15.0,23.0,172.72,72.57472,180.34
